"Stations_id","Referenzjahr","Qualitaetsniveau","Objekt_id","Phase_id","Eintrittsdatum","Eintrittsdatum_QB","Date","Year","Month","Day","rad_global_apr","soil_moist_apr","precip_apr","temp_max_apr","temp_min_apr","Bundesland","Hoehe","Lon","Lat","Naturraumgruppe","Stationsname","Apfelbluete"
11506,2024,10,311,5,20240410,1,2024-04-10,2024,4,10,122.417304992676,84.5083465576172,57.1938591003418,14.9114959716797,4.2083366394043,"Bayern",320,10.9833,50.3167,"Mainfränkische Platten","Oberlauter",100
11508,2023,10,311,5,20230508,1,2023-05-08,2023,5,8,111.282318115234,97.7217483520508,65.1418609619141,11.3116744995117,2.4472505569458,"Bayern",380,11.15,50.2667,"Fränkisches Keuper-Lias-Land","Plesten ",128
11508,2024,10,311,5,20240410,1,2024-04-10,2024,4,10,122.11890411377,83.7217483520508,66.9485397338867,15.2116744995117,4.15789527893066,"Bayern",380,11.15,50.2667,"Fränkisches Keuper-Lias-Land","Plesten ",100
11509,2023,10,311,5,20230505,1,2023-05-05,2023,5,5,112.811363220215,96,60.544246673584,11.9727523803711,2.57275257110596,"Bayern",330,11.1333,50.2167,"Fränkisches Keuper-Lias-Land","Sonnefeld (Ph)",125
11509,2024,10,311,5,20240407,1,2024-04-07,2024,4,7,122.233749389648,82,61.0844688415527,15.7727523803711,4.47275276184082,"Bayern",330,11.1333,50.2167,"Fränkisches Keuper-Lias-Land","Sonnefeld (Ph)",97
11517,2023,10,311,5,20230507,1,2023-05-07,2023,5,7,114.129875183105,97.3908920288086,56.4685325622559,11.4985008239746,2.28017387390137,"Bayern",400,11.2833,49.9333,"Fränkische Alb (Frankenalb) ","Hollfeld (Ph) ",127
11517,2024,10,311,5,20240414,1,2024-04-14,2024,4,14,119.902969360352,83,74.1501312255859,15.2985000610352,4.18017387390137,"Bayern",400,11.2833,49.9333,"Fränkische Alb (Frankenalb) ","Hollfeld (Ph) ",104
11520,2023,10,311,5,20230501,1,2023-05-01,2023,5,1,115.556175231934,97.5360260009766,58.7701187133789,11.4587997436523,2.48465309143066,"Bayern",320,11.2167,49.8167,"Fränkische Alb (Frankenalb) ","Wiesenttal-Streitberg ",121
11520,2024,10,311,5,20240408,1,2024-04-08,2024,4,8,118.62141418457,83.1515960693359,79.491828918457,15.1236068725586,4.28465309143066,"Bayern",320,11.2167,49.8167,"Fränkische Alb (Frankenalb) ","Wiesenttal-Streitberg ",98
11520,2025,1,311,5,20250416,1,2025-04-16,2025,4,16,150.686370849609,70.0720596313477,18.4317569732666,17.0587997436523,3.37414665222168,"Bayern",320,11.2167,49.8167,"Fränkische Alb (Frankenalb) ","Wiesenttal-Streitberg ",106
11522,2023,10,311,5,20230506,1,2023-05-06,2023,5,6,116.320526123047,99.9789352416992,67.595588684082,10.3686302185059,2.4301420211792,"Bayern",520,11.2833,49.7,"Fränkische Alb (Frankenalb) ","Affalterthal",126
11522,2024,10,311,5,20240414,1,2024-04-14,2024,4,14,118.73641204834,85.9810943603516,83.6377334594727,14.0686294555664,4.33014183044434,"Bayern",520,11.2833,49.7,"Fränkische Alb (Frankenalb) ","Affalterthal",104
11523,2023,10,311,5,20230501,1,2023-05-01,2023,5,1,118.972091674805,96.362419128418,49.6361351013184,12.6847114562988,3.37250747680664,"Bayern",345,11.1,49.6667,"Fränkisches Keuper-Lias-Land","Effeltrich",121
11523,2024,10,311,5,20240407,1,2024-04-07,2024,4,7,119.708595275879,82,57.7575569152832,16.2847122192383,5.14832496643066,"Bayern",345,11.1,49.6667,"Fränkisches Keuper-Lias-Land","Effeltrich",97
11523,2025,1,311,5,20250416,1,2025-04-16,2025,4,16,153.139251708984,68.362419128418,22,18.3847122192383,4.74832496643066,"Bayern",345,11.1,49.6667,"Fränkisches Keuper-Lias-Land","Effeltrich",106
11533,2023,10,311,5,20230421,1,2023-04-21,2023,4,21,103.452217102051,101,58.228874206543,9.81758575439453,2.04047260284424,"Bayern",550,11.85,50.2667,"Thüringisch-Fränkisches Mittelgebirge ","Konradsreuth",111
11533,2024,10,311,5,20240423,1,2024-04-23,2024,4,23,124.219741821289,85.4430160522461,56.9490966796875,13.9961410522461,4.25566902160645,"Bayern",550,11.85,50.2667,"Thüringisch-Fränkisches Mittelgebirge ","Konradsreuth",113
11561,2023,10,311,5,20230503,1,2023-05-03,2023,5,3,108.220100402832,99.1860275268555,64.8143768310547,10.9808120727539,1.95726776123047,"Bayern",370,11.6167,50.1167,"Thüringisch-Fränkisches Mittelgebirge ","Wirsberg",123
11561,2024,10,311,5,20240410,1,2024-04-10,2024,4,10,120.490898132324,83.6607513427734,76.7666015625,14.8808120727539,3.95726776123047,"Bayern",370,11.6167,50.1167,"Thüringisch-Fränkisches Mittelgebirge ","Wirsberg",100
11563,2023,10,311,5,20230507,1,2023-05-07,2023,5,7,113.210464477539,99,56.8031692504883,10.637183380127,1.96014080047607,"Bayern",480,11.25,50.0167,"Fränkische Alb (Frankenalb) ","Fesselsdorf ",127
11563,2024,10,311,5,20240410,1,2024-04-10,2024,4,10,120.965766906738,85.1143341064453,79.3985900878906,14.4371841430664,3.94866218566895,"Bayern",480,11.25,50.0167,"Fränkische Alb (Frankenalb) ","Fesselsdorf ",100
11567,2023,10,311,5,20230506,1,2023-05-06,2023,5,6,114.272048950195,96.0287857055664,57.1249198913574,12.020573425293,2.77010231018066,"Bayern",290,11.0333,50.1667,"Fränkisches Keuper-Lias-Land","Schönsreuth ",126
11567,2024,10,311,5,20240412,1,2024-04-12,2024,4,12,122.154113769531,82.0287857055664,55.794261932373,15.720573425293,4.67010231018066,"Bayern",290,11.0333,50.1667,"Fränkisches Keuper-Lias-Land","Schönsreuth ",102
11580,2023,10,311,5,20230516,1,2023-05-16,2023,5,16,103.627494812012,101,59.3211517333984,9.64117202758789,1.73613700866699,"Bayern",530,11.65,50.35,"Thüringisch-Fränkisches Mittelgebirge ","Bobengrün ",136
11584,2023,10,311,5,20230509,1,2023-05-09,2023,5,9,103.668983459473,101.02286529541,60.9064521789551,9.84916381835938,1.98547534942627,"Bayern",610,11.7333,50.2833,"Thüringisch-Fränkisches Mittelgebirge ","Schauenstein",129
11584,2024,10,311,5,20240411,1,2024-04-11,2024,4,11,123.015312194824,86.0961990356445,71.072624206543,14.0491638183594,4.08547554016113,"Bayern",610,11.7333,50.2833,"Thüringisch-Fränkisches Mittelgebirge ","Schauenstein",101
11586,2023,10,311,5,20230504,1,2023-05-04,2023,5,4,103.883903503418,101,59.8164291381836,9.89154281616211,2.11545696258545,"Bayern",510,11.75,50.3167,"Thüringisch-Fränkisches Mittelgebirge ","Selbitz i. Oberfr.",124
11586,2024,10,311,5,20240503,1,2024-05-03,2024,5,3,124.030143737793,86,66.1164932250977,14.0915420532227,4.2106071472168,"Bayern",510,11.75,50.3167,"Thüringisch-Fränkisches Mittelgebirge ","Selbitz i. Oberfr.",123
11588,2023,10,311,5,20230507,1,2023-05-07,2023,5,7,116.131912231445,100,63.6129837036133,10.7125274658203,2.6,"Bayern",500,11.2833,49.7333,"Fränkische Alb (Frankenalb) ","Bieberbach",127
11588,2024,10,311,5,20240413,1,2024-04-13,2024,4,13,118.613700866699,86,86.2617416381836,14.5125274658203,4.50541877746582,"Bayern",500,11.2833,49.7333,"Fränkische Alb (Frankenalb) ","Bieberbach",103
11591,2023,10,311,5,20230503,1,2023-05-03,2023,5,3,114.720634460449,98.7437286376953,45.0440521240234,11.3225715637207,1.9734037399292,"Bayern",480,11.6,49.85,"Oberpfälzisch-Obermainisches Hügelland","Gottsfeld ",123
11591,2024,10,311,5,20240409,1,2024-04-09,2024,4,9,122.267250061035,83.2422256469727,75.7506866455078,15.1747741699219,3.79763984680176,"Bayern",480,11.6,49.85,"Oberpfälzisch-Obermainisches Hügelland","Gottsfeld ",99
11612,2023,10,311,5,20230427,1,2023-04-27,2023,4,27,115.512832641602,94.8442306518555,50.1983261108398,12.6964782714844,2.90269031524658,"Bayern",240,10.9333,50.0167,"Fränkisches Keuper-Lias-Land","Zapfendorf (Ph) ",117
11612,2024,10,311,5,20240409,1,2024-04-09,2024,4,9,121.397018432617,80.8644714355469,57.3279037475586,16.3808303833008,4.80269012451172,"Bayern",240,10.9333,50.0167,"Fränkisches Keuper-Lias-Land","Zapfendorf (Ph) ",99
11619,2023,10,311,5,20230513,1,2023-05-13,2023,5,13,106.387420654297,101.947860717773,45.5553245544434,10.0373252868652,1.7,"Bayern",600,11.95,50.0167,"Thüringisch-Fränkisches Mittelgebirge ","Grötschenreuth",133
11619,2024,10,311,5,20240427,1,2024-04-27,2024,4,27,121.113571166992,85.9478607177734,74.5241622924805,13.977766418457,4.3,"Bayern",600,11.95,50.0167,"Thüringisch-Fränkisches Mittelgebirge ","Grötschenreuth",117
11620,2023,10,311,5,20230503,1,2023-05-03,2023,5,3,104.376365661621,102.571296691895,58.8583717346191,9.42794799804688,1.3530686378479,"Bayern",620,11.8833,50.1,"Thüringisch-Fränkisches Mittelgebirge ","Weißenstadt (Ph)",123
11620,2024,10,311,5,20240413,1,2024-04-13,2024,4,13,122.283409118652,87.5712966918945,84.6338195800781,13.4314208984375,3.6,"Bayern",620,11.8833,50.1,"Thüringisch-Fränkisches Mittelgebirge ","Weißenstadt (Ph)",103
11632,2023,10,311,5,20230420,1,2023-04-20,2023,4,20,114.448181152344,98.8945999145508,52,11.5692543029785,2.17492790222168,"Bayern",460,10.5167,49.4,"Fränkisches Keuper-Lias-Land","Flachslanden",110
11632,2024,10,311,5,20240403,1,2024-04-03,2024,4,3,124.100120544434,87.2206192016602,51.2209930419922,14.8692535400391,3.67492790222168,"Bayern",460,10.5167,49.4,"Fränkisches Keuper-Lias-Land","Flachslanden",93
11634,2023,10,311,5,20230502,1,2023-05-02,2023,5,2,114.22779083252,97.6549758911133,46.303653717041,11.9688629150391,2.53443164825439,"Bayern",400,10.8,49.3333,"Fränkisches Keuper-Lias-Land","Heilsbronn (Ph) ",122
11634,2024,10,311,5,20240410,1,2024-04-10,2024,4,10,124.386817932129,85.0074615478516,46.6556854248047,15.3688629150391,4.03402671813965,"Bayern",400,10.8,49.3333,"Fränkisches Keuper-Lias-Land","Heilsbronn (Ph) ",100
